agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals
bob,1,28528527,11,-0.0015,0.1461,0.2,,-1.0136,0.0912,,
bob,1,28528527,12,0.0001,0.1574,0.22,,-1.009,0.1041,,
bob,1,28528527,13,-0.0022,0.1533,0.2,,-1.0109,0.1021,,
bob,1,28528527,14,-0.0027,0.1253,0.18,,-1.0234,0.0838,,
bob,1,28528527,15,-0.0036,0.1346,0.18,,-1.0081,0.0856,,
bob,1,28528527,16,0.0,0.1711,0.24,,-1.0143,0.1122,,
bob,1,28528527,17,-0.0028,0.1138,0.18,,-1.0143,0.0784,,
bob,1,28528527,18,-0.0,0.1588,0.24,,-1.0188,0.1061,,
bob,1,28528527,19,-0.0026,0.1505,0.22,,-1.0176,0.0961,,
bob,1,28528527,20,-0.0027,0.1352,0.22,,-1.0182,0.0943,,
bob,1,28528527,21,-0.0011,0.1634,0.26,,-1.0309,0.1109,,
bob,1,28533912,22,0.0008,0.1202,0.2,,-1.0061,0.0874,,
bob,1,28533912,23,-0.0001,0.1263,0.22,,-1.0064,0.0949,,
bob,1,28533912,24,-0.0013,0.1107,0.2,,-1.0127,0.0841,,
bob,1,28533912,25,-0.0008,0.1249,0.22,,-1.0107,0.0899,,
bob,1,28533912,26,-0.0007,0.1015,0.2,,-1.014,0.0732,,
bob,1,28533912,27,0.0004,0.1394,0.27999999999999997,,-1.0144,0.1046,,
bob,1,28533912,28,-0.0008,0.1245,0.26,,-1.0086,0.0924,,
bob,1,28533912,29,-0.0007,0.134,0.27999999999999997,,-1.0107,0.1028,,
bob,1,28533912,30,-0.0026,0.1124,0.22,,-1.0204,0.0832,,
bob,1,28533912,31,-0.0019,0.1111,0.22,,-1.0204,0.0764,,
bob,1,28533912,32,-0.0011,0.1232,0.26,,-1.0398,0.0865,,
bob,1,28533912,33,-0.0024,0.1308,0.27999999999999997,,-1.028,0.0882,,
bob,1,28533912,34,-0.0005,0.1329,0.3,,-1.0462,0.0934,,
bob,1,28533912,35,0.0001,0.1424,0.3,,-1.0448,0.1015,,
bob,1,28533912,36,-0.0022,0.1547,0.27999999999999997,,-1.0208,0.1081,,
bob,1,28533912,37,-0.0006,0.157,0.3,,-1.0197,0.1066,,
bob,1,28533912,38,-0.0024,0.1477,0.27999999999999997,,-1.0503,0.1036,,
bob,1,28533912,39,-0.001,0.1669,0.33999999999999997,,-1.0189,0.1146,,
bob,1,28533912,40,-0.0058,0.1159,0.22,,-1.0336,0.0723,,
bob,1,28533912,41,-0.0009,0.152,0.33999999999999997,,-1.0425,0.1074,,
bob,1,28536391,42,0.0019,0.1084,0.26,,-1.0223,0.0783,,
bob,1,28536391,43,0.0025,0.1291,0.24,,-1.0352,0.0935,,
bob,1,28536391,44,-0.0015,0.0977,0.22,,-1.0315,0.0723,,
bob,1,28536391,45,-0.0001,0.126,0.24,,-1.0395,0.0931,,
bob,1,28536391,46,-0.0003,0.1443,0.27999999999999997,,-1.0678,0.1125,,
bob,1,28536391,47,-0.001,0.1211,0.32,,-1.0551,0.0981,,
bob,1,28536391,48,0.0013,0.1408,0.33999999999999997,,-1.0605,0.1082,,
bob,1,28536391,49,0.0005,0.1376,0.32,,-1.0629,0.1037,,
bob,1,28536391,50,-0.0031,0.1447,0.33999999999999997,,-1.047,0.1072,,
bob,1,28536391,51,-0.0004,0.1324,0.32,,-1.0326,0.0949,,
bob,1,28536391,52,0.0011,0.135,0.3,,-1.0446,0.096,,
bob,1,28536391,53,0.0011,0.1497,0.33999999999999997,,-1.0314,0.1042,,
bob,1,28536391,54,-0.0022,0.1603,0.3,,-1.0516,0.1122,,
bob,1,28536391,55,0.0025,0.1491,0.33999999999999997,,-1.057,0.1101,,
bob,1,28536391,56,0.0014,0.1402,0.32,,-1.0431,0.0965,,
bob,1,28536391,57,0.0007,0.1471,0.33999999999999997,,-1.0452,0.1035,,
bob,1,28536391,58,0.002,0.1427,0.32,,-1.0362,0.1035,,
bob,1,28536391,59,0.0037,0.1494,0.33999999999999997,,-1.0365,0.1052,,
bob,1,28536391,60,0.0017,0.1491,0.38,,-1.0523,0.1084,,
bob,1,28536391,61,-0.0001,0.1611,0.33999999999999997,,-1.0439,0.1107,,
bob,1,28537871,62,0.0002,0.1192,0.32,,-1.0433,0.0924,,
bob,1,28537871,63,0.0012,0.1156,0.32,,-1.0454,0.0876,,
bob,1,28537871,64,0.0019,0.1242,0.38,,-1.0561,0.0986,,
bob,1,28537871,65,-0.0,0.1323,0.4,,-1.052,0.1064,,
bob,1,28537871,66,-0.0017,0.1435,0.36,,-1.057,0.1066,,
bob,1,28537871,67,0.0012,0.1207,0.36,,-1.0487,0.0931,,
bob,1,28537871,68,-0.0003,0.1328,0.38,,-1.0611,0.0996,,
bob,1,28537871,69,0.0011,0.1399,0.32,,-1.0444,0.1017,,
bob,1,28537871,70,-0.0003,0.1189,0.3,,-1.0516,0.0875,,
bob,1,28537871,71,0.0007,0.1269,0.36,,-1.062,0.0948,,
bob,1,28537871,72,0.0014,0.1385,0.4,,-1.059,0.101,,
bob,1,28537871,73,0.0013,0.1531,0.4,,-1.0505,0.1117,,
bob,1,28537871,74,0.0002,0.1626,0.4,,-1.0345,0.1117,,
bob,1,28537871,75,0.0024,0.1476,0.4,,-1.0382,0.1056,,
bob,1,28537871,76,0.0005,0.1542,0.42,,-1.0578,0.1093,,
bob,1,28537871,77,0.0006,0.1456,0.4,,-1.0462,0.1041,,
bob,1,28537871,78,0.0007,0.174,0.44,,-1.0654,0.1206,,
bob,1,28537871,79,0.0024,0.1493,0.36,,-1.0471,0.0994,,
bob,1,28537871,80,0.005,0.1611,0.42,,-1.071,0.11,,
bob,1,28537871,81,0.0035,0.1306,0.38,,-1.0742,0.0916,,
bob,1,28538628,82,0.0033,0.1188,0.26,,-1.0316,0.0911,,
bob,1,28538628,83,0.0011,0.1101,0.27999999999999997,,-1.0367,0.0877,,
bob,1,28538628,84,0.0004,0.115,0.36,,-1.0342,0.0904,,
bob,1,28538628,85,0.003,0.1336,0.42,,-1.0254,0.1088,,
bob,1,28538628,86,-0.0017,0.1423,0.45999999999999996,,-1.0312,0.1118,,
bob,1,28538628,87,-0.0014,0.1651,0.48,,-1.0492,0.1278,,
bob,1,28538628,88,-0.0003,0.1714,0.58,,-1.0648,0.139,,
bob,1,28538628,89,0.0043,0.1928,0.64,,-1.0812,0.1503,,
bob,1,28538628,90,0.0015,0.1963,0.54,,-1.0722,0.15,,
bob,1,28538628,91,-0.0036,0.1913,0.58,,-1.0827,0.1474,,
bob,1,28538628,92,0.0005,0.2026,0.66,,-1.0761,0.157,,
bob,1,28538628,93,0.004,0.2369,0.6,,-1.0509,0.1694,,
bob,1,28538628,94,0.0029,0.1992,0.66,,-1.0645,0.1554,,
bob,1,28538628,95,0.0017,0.1898,0.4,,-1.0731,0.1216,,
bob,1,28538628,96,0.0004,0.1739,0.44,,-1.0777,0.1215,,
bob,1,28538628,97,0.0012,0.1802,0.5,,-1.0924,0.1278,,
bob,1,28538628,98,0.0014,0.1744,0.48,,-1.0949,0.1239,,
bob,1,28538628,99,0.0007,0.1831,0.52,,-1.0928,0.1298,,
bob,1,28538628,100,-0.0009,0.1899,0.52,,-1.089,0.1352,,
bob,1,28538628,101,0.0015,0.22,0.6,,-1.0869,0.1579,,
bob,1,28540688,102,0.002,0.1561,0.48,,-1.0509,0.1294,,
bob,1,28540688,103,-0.0005,0.1606,0.54,,-1.0469,0.1347,,
bob,1,28540688,104,0.001,0.1611,0.54,,-1.0706,0.1232,,
bob,1,28540688,105,0.0028,0.186,0.58,,-1.0572,0.1479,,
bob,1,28540688,106,0.0033,0.168,0.45999999999999996,,-1.0864,0.1295,,
bob,1,28540688,107,0.005,0.1753,0.52,,-1.0663,0.1379,,
bob,1,28540688,108,0.0052,0.1852,0.6,,-1.073,0.1507,,
bob,1,28540688,109,0.007,0.1829,0.58,,-1.0639,0.1384,,
bob,1,28540688,110,0.0037,0.2078,0.66,,-1.0765,0.1561,,
